family,genus,group,SRLI_2024_analysis,WCVP_status,WCVP_accepted_name,WCVP_current_id,RL_2000,RL_2010,RL_2020,RL_2000_10yr,RL_2010_10yr,RL_2020_10yr,RL_2000_20yr,RL_2010_20yr,RL_2020_20yr,RL_2000_30yr,RL_2010_30yr,RL_2020_30yr,Status_change,stats_change_A
Fabaceae,Piscidia,Legumes,include,Accepted,Piscidia grandifolia (Donn.Sm.) I.M.Johnst.,199971-2,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Fabaceae,Lathyrus,Legumes,include,Accepted,Lathyrus fulvus (Sm.) Kosterin,60476264-2,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,Not_evaluated,Not_evaluated
Bromeliaceae,Pitcairnia,Monocots,include,Accepted,Pitcairnia arcuata (André) André,200198-2,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Bromeliaceae,Pitcairnia,Monocots,include,Accepted,Pitcairnia juzepczukii W.Weber,283152-2,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,No_change,No_change
Bromeliaceae,Pitcairnia,Monocots,include,Accepted,Pitcairnia macranthera André,200411-2,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Bromeliaceae,Pitcairnia,Monocots,include,Accepted,Pitcairnia moritziana K.Koch & C.D.Bouché,124089-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Bromeliaceae,Pitcairnia,Monocots,include,Accepted,Pitcairnia nigra (Carrière) André,1042782-2,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Bromeliaceae,Pitcairnia,Monocots,include,Accepted,Pitcairnia oranensis L.B.Sm.,200455-2,CR,CR,CR,CR,CR,CR,CR,CR,CR,CR,CR,CR,No_change,No_change
Bromeliaceae,Pitcairnia,Monocots,include,Accepted,Pitcairnia poeppigiana Mez,200478-2,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,No_change,No_change
Fabaceae,Pithecellobium,Legumes,exclude,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fabaceae,Pithecellobium,Legumes,include,Accepted,Pithecellobium diversifolium Benth.,200672-2,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Fabaceae,Enterolobium,Legumes,include,Accepted,Enterolobium gummiferum (Mart.) J.F.Macbr.,91072-2,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Fabaceae,Jupunba,Legumes,include,Homotypic_Synonym,"Jupunba laeta�(Benth.) M.V.B.Soares, M.P.Morim & Iganci",77218790-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
