Taxon,Threat status,EDGE,ED,EDGE_rank,ED_rank
Juniperus jaliscana,EN,0.78,5.21,316,763
Macrozamia lomandroides,EN,0.75,5.03,317,782
Ceratozamia mirandae,EN,0.74,4.97,318,795
Athrotaxis cupressoides,VU,0.73,41.57,319,47
Athrotaxis selaginoides,VU,0.73,41.57,320,48
Abies pinsapo,EN,0.73,4.94,321,797
Ceratozamia alvarezii,EN,0.72,4.91,322,803
Ceratozamia matudae,EN,0.72,4.91,323,804
Ceratozamia sabatoi,EN,0.72,4.89,324,806
Pinus palustris,EN,0.71,4.82,325,817
Ceratozamia latifolia,EN,0.7,4.78,326,827
Encephalartos lebomboensis,EN,0.68,4.72,327,839
Pinus wangii,EN,0.68,4.7,328,844
Cupressus goveniana,EN,0.68,4.69,329,846
Cupressus guadalupensis,EN,0.65,4.58,330,863
Encephalartos concinnus,EN,0.65,4.57,331,868
Cycas platyphylla,EN,0.65,4.57,332,869
Ceratozamia hildae,EN,0.63,4.49,333,883
Abies guatemalensis,EN,0.63,4.46,334,890
Abies hickelii,EN,0.63,4.46,335,891
Abies ziyuanensis,EN,0.63,4.46,336,892
Encephalartos macrostrobilus,EN,0.63,4.45,337,894
Abies fraseri,EN,0.62,4.44,338,899
Podocarpus costalis,EN,0.59,4.29,339,920
Pinus albicaulis,EN,0.59,4.28,340,922
Abies koreana,EN,0.58,4.26,341,927
Podocarpus laubenfelsii,EN,0.55,4.12,342,943
Encephalartos kisambo,EN,0.55,4.11,343,945
Pinus amamiana,EN,0.54,4.07,344,947
Ceratozamia whitelockiana,EN,0.53,4.06,345,950
Pinus radiata,EN,0.51,3.98,346,962
Prumnopitys montana,VU,0.51,33.22,347,58
Encephalartos eugene-maraisii,EN,0.51,3.95,348,970
Ceratozamia becerrae,EN,0.49,3.88,349,983
Cedrus libani,VU,0.48,32.46,350,64
Zamia cremnophila,EN,0.48,3.85,351,990
Encephalartos umbeluziensis,EN,0.48,3.84,352,991
Zamia verschaffeltii,EN,0.46,3.76,353,999
Encephalartos chimanimaniensis,EN,0.44,3.71,354,1004
Cephalotaxus oliveri,VU,0.42,30.42,355,68
Zamia furfuracea,EN,0.41,3.58,356,1021
Zamia lacandona,EN,0.41,3.57,357,1023
Macrozamia viridis,EN,0.39,3.51,358,1030
Pseudotsuga sinensis,VU,0.36,28.55,359,71
Cephalotaxus griffithii,VU,0.35,28.32,360,74
Juniperus standleyi,EN,0.33,3.31,361,1047
Macrozamia cranei,EN,0.32,3.28,362,1050
Juniperus gamboana,EN,0.32,3.27,363,1051
Keteleeria evelyniana,VU,0.27,26.07,364,83
Pinus occidentalis,EN,0.26,3.1,365,1077
Amentotaxus formosana,VU,0.25,25.75,366,88
Juniperus gracilior,EN,0.24,3.02,367,1083
Araucaria biramulata,VU,0.21,24.67,368,93
Juniperus saltillensis,EN,0.2,2.92,369,1086
Amentotaxus poilanei,VU,0.19,24.15,370,95
Agathis lenticula,VU,0.17,23.71,371,96
Fokienia hodginsii,VU,0.17,23.7,372,97
Torreya fargesii,VU,0.15,23.31,373,98
Agathis flavescens,VU,0.15,23.26,374,99
Amentotaxus yunnanensis,VU,0.13,22.75,375,104
Araucaria bernieri,VU,0.13,22.7,376,108
Araucaria schmidii,VU,0.13,22.68,377,109
Juniperus comitana,EN,0.12,2.68,378,1089
Torreya californica,VU,0.12,22.47,379,112
Agathis lanceolata,VU,0.08,21.68,380,122
Agathis dammara,VU,0.08,21.63,381,124
Agathis moorei,VU,0.06,21.28,382,128
Araucaria montana,VU,0.06,21.28,383,129
Taxus mairei,VU,0.03,20.58,384,139
Sciadopitys verticillata,NT,-0.11,223.58,385,2
Podocarpus salignus,VU,-0.19,16.55,386,174
Picea asperata,VU,-0.25,15.63,387,183
Retrophyllum rospigliosii,VU,-0.27,15.32,388,192
Picea breweriana,VU,-0.27,15.23,389,193
Cycas pectinata,VU,-0.4,13.44,390,207
Dioon argenteum,VU,-0.47,12.5,391,221
Thuja koraiensis,VU,-0.49,12.3,392,224
Podocarpus matudae,VU,-0.52,11.9,393,233
Dioon angustifolium,VU,-0.56,11.41,394,243
Cycas panzhihuaensis,VU,-0.57,11.28,395,246
Gnetum globosum,VU,-0.6,10.98,396,256
Pinus krempfii,VU,-0.6,10.93,397,257
Gnetum acutum,VU,-0.61,10.84,398,259
Gnetum contractum,VU,-0.62,10.71,399,262
Dioon tomasellii,VU,-0.64,10.55,400,266
Cycas segmentifida,VU,-0.64,10.51,401,268
Dioon merolae,VU,-0.65,10.4,402,269
Dioon purpusii,VU,-0.65,10.4,403,270
Encephalartos altensteinii,VU,-0.66,10.38,404,271
Tsuga forrestii,VU,-0.66,10.32,405,277
Cycas macrocarpa,VU,-0.69,10.05,406,288
Pilgerodendron uviferum,VU,-0.69,10.01,407,289
Pinus rzedowskii,VU,-0.7,9.91,408,300
Cycas megacarpa,VU,-0.72,9.69,409,312
Pinus tropicalis,VU,-0.76,9.35,410,328
Afrocarpus mannii,VU,-0.77,9.28,411,330
Saxegothaea conspicua,NT,-0.77,115.47,412,5
Nageia motleyi,VU,-0.78,9.13,413,335
Dacrydium leptophyllum,VU,-0.8,9.03,414,344
Dacrydium medium,VU,-0.8,9.03,415,345
Cycas pranburiensis,VU,-0.84,8.59,416,366
Cycas zeylanica,VU,-0.87,8.34,417,380
Pinus tecunumanii,VU,-0.91,8.08,418,395
Zamia standleyi,VU,-0.91,8.02,419,400
Podocarpus ridleyi,VU,-0.92,7.94,420,403
Cycas collina,VU,-0.93,7.91,421,406
Cycas diannanensis,VU,-0.94,7.83,422,410
Cycas guizhouensis,VU,-0.94,7.83,423,411
Zamia cunaria,VU,-0.95,7.71,424,423
Callitris oblonga,VU,-0.97,7.61,425,428
Cycas aculeata,VU,-0.97,7.58,426,433
Cycas bifida,VU,-0.98,7.54,427,443
Podocarpus polystachyus,VU,-0.98,7.54,428,444
Austrotaxus spicata,NT,-0.98,93.58,429,8
Cycas nongnoochiae,VU,-1,7.37,430,459
Cycas condaoensis,VU,-1,7.36,431,462
Cupressus chengiana,VU,-1.01,7.31,432,467
Callitris monticola,VU,-1.01,7.3,433,468
Cycas falcata,VU,-1.01,7.28,434,470
Cycas siamensis,VU,-1.01,7.28,435,471
Encephalartos princeps,VU,-1.01,7.28,436,473
Cycas inermis,VU,-1.01,7.28,437,474
Zamia soconuscensis,VU,-1.01,7.27,438,475
Zamia acuminata,VU,-1.03,7.15,439,485
Cycas shanyaensis,VU,-1.05,6.99,440,496
Cycas micholitzii,VU,-1.07,6.87,441,513
Picea brachytyla,VU,-1.07,6.87,442,514
Podocarpus archboldii,VU,-1.07,6.85,443,518
Zamia neurophyllidia,VU,-1.08,6.82,444,521
Cycas cupida,VU,-1.08,6.77,445,530
Cycas tuckeri,VU,-1.09,6.73,446,538
Cycas nathorstii,VU,-1.09,6.73,447,539
Encephalartos paucidentatus,VU,-1.09,6.71,448,542
Cycas desolata,VU,-1.1,6.68,449,547
Picea farreri,VU,-1.1,6.63,450,548
Encephalartos gratus,VU,-1.11,6.57,451,556
Zamia erosa,VU,-1.11,6.56,452,559
Cycas saxatilis,VU,-1.12,6.55,453,561
Cycas seemannii,VU,-1.15,6.35,454,579
Picea likiangensis,VU,-1.15,6.31,455,591
Cycas armstrongii,VU,-1.16,6.25,456,603
Cupressus bakeri,VU,-1.18,6.17,457,613
Pinus merkusii,VU,-1.18,6.16,458,614
Picea morrisonicola,VU,-1.18,6.16,459,616
Zamia encephalartoides,VU,-1.21,5.95,460,640
Encephalartos trispinosus,VU,-1.22,5.89,461,648
Ceratozamia microstrobila,VU,-1.22,5.88,462,650
Abies squamata,VU,-1.25,5.74,463,669
Zamia stricta,VU,-1.25,5.72,464,672
Zamia oreillyi,VU,-1.29,5.52,465,713
Podocarpus fasciculus,VU,-1.29,5.5,466,716
Abies hidalgensis,VU,-1.33,5.31,467,750
Encephalartos senticosus,VU,-1.33,5.31,468,752
Zamia angustifolia,VU,-1.34,5.24,469,758
Podocarpus rusbyi,VU,-1.36,5.15,470,767
Pinus muricata,VU,-1.38,5.01,471,784
Podocarpus angustifolius,VU,-1.39,5,472,787
Macrozamia parcifolia,VU,-1.39,4.99,473,789
Podocarpus gibbsiae,VU,-1.39,4.99,474,791
Pinus greggii,VU,-1.4,4.94,475,799
Araucaria hunsteinii,NT,-1.4,61.53,476,21
Macrozamia secunda,VU,-1.41,4.87,477,809
