Site,Code,Country,Region,"Year of Identification (=date of final draft, or reviwed Version uploaded in the database)",note,Area (km2)
Kakiwondi Forest Patch,GUITIPA006,GUI: Guinea,Coyah [Prefecture],2019,Publication year,
Kakiwondi Forest Patch,,GUI: Guinea,,27/11/2020 10:39,publish,0.1
Kambadga Falls,GUITIPA007,GUI: Guinea,Pita [Prefecture],2019,Publication year,
Kambadga Falls,,GUI: Guinea,,27/11/2020 10:42,publish,2
Koba sandstone bowal,GUITIPA008,GUI: Guinea,Dalaba [Prefecture],2019,Publication year,
Koba sandstone bowal,,GUI: Guinea,,27/11/2020 10:48,publish,1
Koukoutamba waterfalls,GUITIPA010,GUI: Guinea,Tougué [Prefecture],2019,Publication year,
Koukoutamba waterfalls,,GUI: Guinea,,27/11/2020 10:56,publish,27.5
Kounounkan Massif and Plateau,GUITIPA011,GUI: Guinea,Forecariah [Prefecture],2019,Publication year,
Kounounkan Massif and Plateau,,GUI: Guinea,,27/11/2020 10:59,publish,39.55
Mont BeroClassified Forest,,GUI: Guinea,,27/11/2020 11:11,publish,80
Mont BéroClassified Forest,GUITIPA014,GUI: Guinea,Nzérékoré [Prefecture],2019,Publication year,
Moofanyi Inselbergs,GUITIPA012,GUI: Guinea,Forecariah [Prefecture],2019,Publication year,
Moofanyi Inselbergs,,GUI: Guinea,,27/11/2020 11:13,publish,0.5
Moyen Bafing National Park,GUITIPA013,GUI: Guinea,Dinguiraye [Prefecture],2019,Publication year,
Mt Gangan Sandstone MountainChain,GUITIPA003,GUI: Guinea,Kindia [Prefecture],2019,Publication year,
Mt Gangan Sandstone MountainChain,,GUI: Guinea,,27/11/2020 11:14,publish,633
Mt Konossou,GUITIPA009,GUI: Guinea,Guéckédou [Prefecture],2019,Publication year,
Mt Konossou,,GUI: Guinea,,27/11/2020 11:15,publish,16
Mt Wokou,GUITIPA015,GUI: Guinea,Macenta [Prefecture],2019,Publication year,
Mt Wokou,,GUI: Guinea,,27/11/2020 11:16,publish,2
Nimba Mountains,GUITIPA016,GUI: Guinea,Lola [Prefecture],2019,Publication year,
Nimba Mountains,,GUI: Guinea,,27/11/2020 11:18,publish,149.2
Saala waterfalls,GUITIPA017,GUI: Guinea,Labé [Prefecture],2019,Publication year,
Simbaraya Ferralitic Bowe,GUITIPA019,GUI: Guinea,Kindia [Prefecture],2019,Publication year,
Simbaraya Ferralitic Bowe,,GUI: Guinea,,25/11/2020 10:15,publish,7
Southern Simandou Mountains,GUITIPA018,GUI: Guinea,Beyla [Prefecture],2019,Publication year,
Southern Simandou Mountains,,GUI: Guinea,,27/11/2020 11:32,publish,368
Tassing Plateau,GUITIPA020,GUI: Guinea,Kindia [Prefecture],2019,Publication year,
Tassing Plateau,,GUI: Guinea,,30/11/2020 15:15,publish,0.5
Tonkoyah InselbergComplex,GUITIPA021,GUI: Guinea,Forecariah [Prefecture],2019,Publication year,
Tonkoyah InselbergComplex,,GUI: Guinea,,27/11/2020 11:34,publish,6.12
Ziama Massif,GUITIPA022,GUI: Guinea,Macenta [Prefecture],2019,Publication year,
Ziama Massif,,GUI: Guinea,,25/11/2020 10:18,publish,1161.7
Bazaruto Archipelago,MOZTIPA042,MOZ: Mozambique,Inhambane [Province],2022,Publication year,
Bazaruto Archipelago,,MOZ: Mozambique,,19/07/2022 10:06,publish,190
Bilene-Calanga,MOZTIPA049,MOZ: Mozambique,Gaza [Province],2022,Publication year,
Bilene-Calanga,,MOZ: Mozambique,,19/07/2022 10:09,publish,1366
Bobole,MOZTIPA054,MOZ: Mozambique,Maputo [Province],2022,Publication year,
Bobole,,MOZ: Mozambique,,19/07/2022 10:12,publish,0.23
Catapu,,MOZ: Mozambique,,19/07/2022 10:17,publish,352
Catapú,MOZTIPA033,MOZ: Mozambique,Sofala [Province],2022,Publication year,
Cheringoma Limestone Gorges,MOZTIPA037,MOZ: Mozambique,Sofala [Province],2022,Publication year,
Cheringoma Limestone Gorges,,MOZ: Mozambique,,19/07/2022 10:19,publish,182
Chidenguele,MOZTIPA050,MOZ: Mozambique,Gaza [Province],2022,Publication year,
Chidenguele,,MOZ: Mozambique,,19/07/2022 10:22,publish,60.3
Chimanimani Lowlands,MOZTIPA003A,MOZ: Mozambique,Manica [Province],2022,Publication year,
